中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
158.101.207.19,443,2a0b:21c0:1007:1cb:0:939f:c847:f7b8,DE,Frankfurt,隧道,88 ms,244 Mbps,31232 kB/s,31232.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,240 Mbps,30720 kB/s,30720.0
141.148.241.78,443,2a0b:21c0:1007:1c9:0:629b:4700:af6,DE,Frankfurt,隧道,105 ms,239 Mbps,30617 kB/s,30617.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,124 ms,237 Mbps,30412 kB/s,30412.0
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,110 ms,234 Mbps,30003 kB/s,30003.0
141.148.224.54,443,2a0b:21c0:1007:1cb:0:6db8:db07:5027,DE,Frankfurt,隧道,89 ms,234 Mbps,30003 kB/s,30003.0
150.230.22.152,443,2606:f240:f00:a683:0:2071:1fe7:115d,US,Frankfurt,隧道,110 ms,228 Mbps,29184 kB/s,29184.0
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,135 ms,226 Mbps,28979 kB/s,28979.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,108 ms,220 Mbps,28262 kB/s,28262.0
158.101.217.62,443,2a0b:21c0:100a:1b2:0:3729:6849:109e,DE,Frankfurt,隧道,95 ms,217 Mbps,27852 kB/s,27852.0
144.24.185.74,443,2606:f240:f00:2be4:0:2cae:1382:deb7,US,Frankfurt,隧道,95 ms,208 Mbps,26624 kB/s,26624.0
129.159.25.3,443,2606:f240:f00:83a7:0:8c52:cda7:1dc3,US,Frankfurt,隧道,127 ms,181 Mbps,23244 kB/s,23244.0
144.24.182.8,443,2606:f240:f00:83a7:0:1a7c:6484:c847,US,Frankfurt,隧道,90 ms,171 Mbps,21913 kB/s,21913.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,131 ms,154 Mbps,19763 kB/s,19763.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,192 ms,133 Mbps,17100 kB/s,17100.0
144.24.175.174,443,2a0b:21c0:1007:ca:0:e625:df87:9a55,DE,Frankfurt,隧道,114 ms,128 Mbps,16486 kB/s,16486.0
152.70.22.175,443,2a0b:21c0:100a:1b5:0:ba78:7ce9:406,DE,Frankfurt,隧道,111 ms,118 Mbps,15155 kB/s,15155.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,210 ms,103 Mbps,13209 kB/s,13209.0
150.230.107.89,443,107.151.176.166,US,Los Angeles,隧道,194 ms,98 Mbps,12595 kB/s,12595.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,207 ms,98 Mbps,12595 kB/s,12595.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,99 ms,90 Mbps,11571 kB/s,11571.0
130.162.145.204,443,217.142.149.56,KR,Seoul,隧道,207 ms,84 Mbps,10752 kB/s,10752.0
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,226 ms,81 Mbps,10444 kB/s,10444.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,202 ms,81 Mbps,10444 kB/s,10444.0
