中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
146.70.175.171,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,96 Mbps,12390 kB/s
192.9.231.75,443,192.9.231.75,US,San Jose,中转,68 ms,148 Mbps,18944 kB/s
146.70.169.122,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,96 Mbps,12390 kB/s
146.70.175.182,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,95 Mbps,12185 kB/s
8.218.65.237,443,8.218.65.237,HK,Hong Kong,中转,158 ms,80 Mbps,10342 kB/s
136.175.179.68,443,2605:52c0:1001:557:d4ea:baff:fe8b:e2e9,US,San Jose,隧道,52 ms,10 Mbps,1310 kB/s
146.70.175.166,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,115 Mbps,14745 kB/s
23.90.144.168,443,23.90.151.62,DE,Frankfurt,隧道,157 ms,104 Mbps,13312 kB/s
146.70.175.100,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,104 Mbps,13414 kB/s
146.70.175.184,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,104 Mbps,13414 kB/s
8.222.205.210,443,8.222.205.210,SG,Singapore,中转,253 ms,46 Mbps,5956 kB/s
47.89.191.155,443,47.89.191.155,US,23 Mbps,3024 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,253 ms,46 Mbps,5977 kB/s
146.70.175.121,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,156 ms,101 Mbps,13004 kB/s
8.219.156.148,443,8.219.156.148,SG,Singapore,中转,248 ms,44 Mbps,5707 kB/s
8.222.157.86,443,8.222.157.86,SG,Singapore,中转,253 ms,22 Mbps,2855 kB/s
146.70.175.181,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,96 Mbps,12390 kB/s
146.56.157.176,443,146.56.157.176,KR,Tokyo,中转,136 ms,76 Mbps,9796 kB/s
47.236.87.206,443,47.236.87.206,SG,Singapore,中转,254 ms,20 Mbps,2589 kB/s
130.162.227.209,443,158.180.19.204,DE,,隧道,155 ms,73 Mbps,9388 kB/s
23.90.144.169,443,23.90.151.62,DE,Frankfurt,隧道,154 ms,113 Mbps,14540 kB/s
98.98.49.226,443,98.98.49.226,HK,Hong Kong,中转,155 ms,14 Mbps,1884 kB/s
140.238.213.209,443,140.238.213.209,CH,Milan,中转,163 ms,39 Mbps,4992 kB/s
8.219.186.189,443,8.219.186.189,SG,Singapore,中转,249 ms,52 Mbps,6727 kB/s
8.217.159.210,443,8.217.159.210,HK,Hong Kong,中转,159 ms,97 Mbps,12492 kB/s
176.97.77.32,443,176.97.77.32,SE,Frankfurt,中转,168 ms,79 Mbps,10137 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,250 ms,48 Mbps,6200 kB/s
193.123.39.141,443,2606:f240:f00:2be4:0:3204:d3a2:c0b3,US,Frankfurt,隧道,226 ms,110 Mbps,14131 kB/s
8.219.140.229,443,8.219.140.229,SG,Singapore,中转,256 ms,58 Mbps,7441 kB/s
8.219.245.187,443,8.219.245.187,SG,Singapore,中转,254 ms,49 Mbps,6372 kB/s
47.236.116.182,443,47.236.116.182,SG,Singapore,中转,249 ms,53 Mbps,6799 kB/s
47.236.113.184,443,47.236.113.184,SG,Singapore,中转,249 ms,22 Mbps,2903 kB/s
141.145.199.188,443,141.145.199.188,FR,,中转,147 ms,123 Mbps,15769 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,254 ms,49 Mbps,6275 kB/s
43.153.181.217,443,43.153.181.217,JP,Tokyo,中转,108 ms,132 Mbps,16998 kB/s
152.32.130.241,443,107.150.110.203,US,Los Angeles,隧道,296 ms,0 Mbps,40 kB/s
43.134.180.93,443,43.134.180.93,SG,Singapore,中转,177 ms,26 Mbps,3422 kB/s
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,,隧道,156 ms,39 Mbps,5013 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,162 ms,3 Mbps,502 kB/s
192.169.127.184,443,23.251.99.27,US,San Jose,隧道,0 ms,3 Mbps,475 kB/s
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,158 ms,2 Mbps,317 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,52 ms,390 Mbps,49971 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,71 ms,288 Mbps,36864 kB/s
